epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20053.7,1.57794,0.77286,0.00383,0.88763,0.86718,0.88577,0.59231,1.63086,0.72727,0.00393,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,20664.6,1.56941,0.75656,0.0038,0.86071,0.87058,0.87929,0.59241,1.62919,0.72419,0.00391,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,21278.9,1.55835,0.74702,0.00367,0.89678,0.86178,0.88555,0.59693,1.63011,0.69843,0.00392,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21893.8,1.54143,0.7418,0.0037,0.87845,0.86656,0.88359,0.59916,1.62769,0.70809,0.00392,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,22506.3,1.54001,0.73389,0.00366,0.89017,0.87379,0.8886,0.60281,1.613,0.70147,0.00387,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,23121.7,1.53023,0.72391,0.0037,0.88643,0.87205,0.88824,0.60023,1.62841,0.69716,0.00391,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,23736.1,1.5274,0.72008,0.00359,0.89794,0.86957,0.88847,0.60479,1.62321,0.7002,0.00389,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,24352.5,1.51314,0.71781,0.00354,0.89467,0.87082,0.88935,0.60781,1.61089,0.69046,0.00387,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,24969.3,1.48761,0.7096,0.00348,0.89336,0.87689,0.8911,0.608,1.61445,0.6936,0.00388,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,25587.5,1.44632,0.64496,0.00383,0.90137,0.87843,0.89188,0.60803,1.61522,0.68025,0.00388,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,26187.1,1.4333,0.6348,0.00373,0.89275,0.87722,0.88978,0.6081,1.6135,0.6856,0.00389,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,26790,1.40743,0.62087,0.00373,0.89532,0.87595,0.89132,0.61157,1.61233,0.68439,0.00389,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,27399.6,1.39793,0.61392,0.00359,0.89912,0.87668,0.89095,0.61246,1.61228,0.69141,0.00389,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,28008.9,1.3751,0.60743,0.00356,0.89668,0.88147,0.89223,0.61215,1.61304,0.68799,0.00388,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,28620.3,1.36936,0.5971,0.00348,0.89795,0.87202,0.89089,0.61445,1.60765,0.68555,0.00387,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,29233.3,1.35493,0.58444,0.00339,0.90103,0.87163,0.89219,0.61507,1.60665,0.68533,0.00387,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,29836.2,1.33976,0.57724,0.00336,0.90334,0.87412,0.8912,0.6171,1.60782,0.68312,0.00388,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30438.5,1.3437,0.57721,0.00333,0.90118,0.87349,0.8903,0.61594,1.61125,0.68482,0.00387,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,31042,1.32017,0.55835,0.00324,0.90143,0.87511,0.89073,0.61618,1.61208,0.68918,0.00388,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
