epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,19150.4,1.21481,0.66183,0.97239,0.85967,0.85463,0.86279,0.57054,1.33848,0.65661,0.93787,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,19809.9,1.21214,0.65365,0.97064,0.88451,0.86941,0.8736,0.5788,1.32465,0.64949,0.93233,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20464.7,1.20402,0.64969,0.96537,0.89182,0.87055,0.88159,0.58987,1.31656,0.64437,0.93312,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21109.4,1.19325,0.64044,0.96399,0.88677,0.8627,0.87488,0.58706,1.31166,0.64301,0.93244,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,21756.6,1.18744,0.63619,0.96247,0.89364,0.87196,0.88964,0.60259,1.30094,0.62722,0.92622,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,22423.5,1.18369,0.63508,0.9643,0.89066,0.8694,0.8834,0.59349,1.3115,0.63275,0.92972,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,23087.6,1.18134,0.63056,0.95976,0.88175,0.86586,0.87536,0.59121,1.31105,0.63121,0.93347,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,23755.7,1.16619,0.62076,0.95554,0.89586,0.87362,0.88349,0.59661,1.31266,0.63004,0.93414,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,24418.5,1.14897,0.61379,0.9521,0.88066,0.8651,0.87804,0.59507,1.3089,0.62911,0.93104,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,25079.4,1.12657,0.57749,0.95036,0.89329,0.8726,0.88361,0.59632,1.30389,0.62325,0.93118,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,25716,1.11246,0.56376,0.9471,0.88865,0.87054,0.88183,0.59631,1.29933,0.62357,0.93013,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,26362.2,1.09696,0.55738,0.94312,0.89636,0.87054,0.88332,0.59956,1.29198,0.62168,0.92807,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,26997.6,1.08751,0.54918,0.93904,0.89328,0.87117,0.88297,0.60177,1.2921,0.61668,0.9271,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,27629.3,1.06584,0.5407,0.93236,0.89,0.86849,0.88096,0.5998,1.29302,0.6186,0.929,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,28258.2,1.06012,0.53168,0.9277,0.88198,0.86971,0.88266,0.60551,1.29337,0.61979,0.9292,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,28887.5,1.04784,0.52284,0.92481,0.89098,0.86762,0.88437,0.60716,1.29425,0.61514,0.92999,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,29520.9,1.0351,0.5153,0.92339,0.88886,0.86953,0.88163,0.60501,1.29412,0.61697,0.9306,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30161.9,1.03078,0.51246,0.92061,0.88818,0.86777,0.88061,0.60466,1.29417,0.62012,0.92987,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,30805.5,1.01319,0.4982,0.91445,0.89231,0.86535,0.87977,0.60538,1.29197,0.61931,0.92938,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
