epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,17850.7,1.22407,0.66343,0.97362,0.89111,0.87201,0.87919,0.5825,1.322,0.63694,0.93569,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,18385.9,1.21892,0.65674,0.97142,0.88306,0.86729,0.87587,0.57208,1.32317,0.64674,0.93529,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,18920.1,1.20924,0.64994,0.96702,0.88136,0.86235,0.87192,0.57609,1.32756,0.6443,0.93895,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,19457.2,1.19913,0.64389,0.96427,0.88525,0.86315,0.87899,0.58449,1.32104,0.63437,0.93981,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,19991.2,1.19331,0.64162,0.96444,0.89996,0.86994,0.89022,0.59775,1.30766,0.6218,0.93197,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,20528.2,1.19285,0.63862,0.96515,0.89342,0.86842,0.88247,0.59186,1.30933,0.62707,0.93377,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,21065.4,1.19063,0.63584,0.96195,0.89428,0.86882,0.88254,0.5929,1.30313,0.62266,0.93257,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,21605.6,1.17718,0.62582,0.95878,0.88195,0.87598,0.88313,0.59319,1.30157,0.62516,0.93034,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,22151,1.16412,0.62172,0.95496,0.89326,0.87013,0.88164,0.59506,1.30215,0.61769,0.93137,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,22696.6,1.13928,0.58494,0.95479,0.89276,0.87225,0.88259,0.59362,1.30257,0.61948,0.93148,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,23225.5,1.1259,0.57231,0.94969,0.89331,0.86766,0.8822,0.59552,1.28822,0.61948,0.92692,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,23757.7,1.11428,0.56767,0.94938,0.8925,0.86979,0.8837,0.59803,1.29032,0.61997,0.92685,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,24289.5,1.1069,0.55965,0.94507,0.89317,0.87121,0.88373,0.60115,1.28852,0.61731,0.92631,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,24827.6,1.08451,0.55079,0.9398,0.89134,0.87355,0.88319,0.60283,1.28822,0.6134,0.92805,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,25355.9,1.08348,0.54494,0.93446,0.89043,0.87504,0.88365,0.60275,1.28881,0.61274,0.92655,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,25887.5,1.07084,0.53669,0.9321,0.89732,0.87266,0.88584,0.60432,1.28983,0.61188,0.92802,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,26414.6,1.06035,0.53211,0.93065,0.89039,0.87594,0.88428,0.60292,1.28785,0.61307,0.92719,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,26951.4,1.05896,0.52741,0.93014,0.89522,0.8727,0.88449,0.6042,1.28809,0.61172,0.92798,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,27490.6,1.04063,0.51454,0.92405,0.89511,0.87064,0.88428,0.6033,1.28868,0.61225,0.92847,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
